Artist,Track,SpotifyID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Key_mode_Ratio,duration_ms,billboard_hit
Sonora Santanera,Amor De Cabaret,5JeyXbf7CrVQ8DqwFikN0P,0.699,0.519,-6.422,0.029,0.689,0.000471,0.935,0.676,102.463,8.0,183027,0
JennyAnyKind,Young Boy Blues,5uN6oY2NGLC6GKoywHKkZA,0.458,0.57,-9.159,0.0495,5.54e-05,0.000768,0.0988,0.203,146.609,0.0,218907,0
Casual,I Didn't Mean To,01TR6aAKrA2cI3Z0gnCOsu,0.751,0.549,-10.508,0.429,0.063,2.47e-05,0.106,0.553,92.224,0.0,218933,0
Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),7ERvcsBBYzSHqQQqlI9xAN,0.456,0.472,-8.328,0.0325,0.706,4.93e-06,0.0833,0.286,147.565,5.0,267640,0
Tweeterfriendly Music,Drop of Rain,6dfppQDZQ4x3fCs6N89kV3,0.498,0.3,-10.716,0.0352,0.553,0.000116,0.0963,0.185,100.315,7.0,189560,0
Rated R,Keepin It Real (Skit),0e4hF4Jxyh7cuwB2pMYhBh,0.683,0.173,-16.056,0.895,0.799,0.0,0.23,0.696,83.834,1.0,112947,0
Jimmy Wakely,Broken-Down Merry-Go-Round,0OeACzDjHCfFAC0VwSCv3C,0.591,0.19,-12.696,0.028,0.791,0.0,0.12,0.561,85.961,1.0,151173,0
lextrical,Synthetic Dream,01rXKwe1sC4OJvI01BmhAL,0.583,0.589,-6.856,0.0298,0.621,0.89,0.139,0.277,138.339,0.0,168080,0
Alice Stuart,Kassie Jones,5IFHuCYpvtEyPfp2LS0bwF,0.581,0.413,-6.546,0.0325,0.511,0.000272,0.188,0.527,110.222,11.0,220800,0
Bob Azzam,Auguri Cha Cha,0DiSk1STsEM5bVOQHBqB1N,0.699,0.44,-12.359,0.033,0.268,0.00033,0.294,0.909,137.358,6.0,191949,0
Andy Andy,La Culpa,4NPrFFGPfS4el9lbtC5gGZ,0.756,0.533,-7.128,0.178,0.111,0.000103,0.0709,0.874,176.042,0.0,199091,0
Faiz Ali Faiz,Sohna Nee Sohna Data,3ukWqBHE8jIlRSKNP99I7X,0.569,0.876,-6.505,0.0426,0.308,0.152,0.472,0.931,99.325,6.0,599240,0
Elena,Setanta matins,1ZV1Ff9ebiB5pXpnC8Hfan,0.537,0.367,-6.547,0.0336,0.664,0.0455,0.0738,0.347,142.016,2.0,269351,0
John Wesley,The Emperor Falls,2dq9mEgzYTlz3GnZrkQM4Z,0.499,0.566,-15.365,0.0327,2.34e-05,0.233,0.106,0.588,137.978,0.0,485000,0
Five Bolt Main,Made Like This (Live),6bswgr5zXEgDRfNytZeqzL,0.197,0.988,-5.486,0.28,0.00287,6.89e-05,0.941,0.108,162.367,7.0,225093,0
Clp,Superconfidential,5KZSRoDwhKYu2ermOEWBKo,0.839,0.865,-6.563,0.0519,0.235,0.0,0.106,0.711,117.981,1.0,253760,0
Jacob Young,In A Subtle Way,055muESTeShEPTRc1LS55R,0.532,0.174,-19.861,0.0382,0.797,0.841,0.108,0.628,90.0,6.0,459773,0
Despina Vandi,OUTE ENA EFHARISTO,6NoLp6XUqOirwJbXtsvO03,0.579,0.641,-7.033,0.0605,0.745,0.000346,0.117,0.343,127.388,0.0,303373,0
Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",4RlRwnxwwLmsgwUN0PSKEe,0.21,0.897,-8.898,0.085,0.0437,0.681,0.362,0.121,130.473,0.0,450840,0
Vickie Winans,Make Me Over,6kkWAhTJUjglrO2dyfgs9F,0.794,0.753,-8.927,0.0799,0.147,0.0,0.0666,0.689,107.988,0.0,231867,0
Edith Lefel,An ti chans',6omT9DqJGIxNCov39vah4k,0.66,0.949,-4.741,0.0458,0.0624,0.0943,0.213,0.911,102.005,0.0,277347,0
Yamandu Costa,Mafuá,4BcmPOnvvHLz4HP9alWXJq,0.477,0.332,-13.546,0.0384,0.945,0.88,0.108,0.829,106.04,2.0,191033,0
Suzanne Ciani,Stream,7swrwaG4qfEts69IL0Ur4j,0.258,0.423,-13.771,0.0388,0.769,0.944,0.709,0.286,104.3,7.0,257040,0
Murskahumppa,Ota kiinni,6lf2srkPhBqC8yzZYeiWhI,0.254,0.614,-7.642,0.0373,0.000534,2.53e-06,0.0865,0.287,127.527,7.0,285347,0
Taras,I Will Love Again (JJ's Club Radio),0HvjwIVLZA23YsAfuQB1pm,0.606,0.887,-6.512,0.0291,0.000123,0.000908,0.352,0.757,127.996,0.0,200264,0
The Dirty Skirts,Wake,2gSHfDQyQbFFX6ZkHgCzu7,0.531,0.933,-4.56,0.0395,0.0369,0.00711,0.339,0.555,141.889,0.0,207067,0
Hank Penny & The Lincoln Penny Orchestra,Dixie,52wWjVg8rR2bbLjgY9ngvj,0.573,0.303,-15.125,0.0515,0.521,0.132,0.0628,0.66,121.268,0.0,128067,0
Borialis,Hourglass,4BPY5xtNGUcZDzxDM0DpnU,0.485,0.94,-5.674,0.0507,0.000145,0.0,0.175,0.714,87.092,2.0,239267,0
Nadine Renee,Next Time,6CiIoP99xfVW0FRSXhB7wk,0.596,0.591,-6.86,0.034,0.265,0.0,0.0974,0.28,84.031,2.0,249382,0
Flor Silvestre,Caricia Y Herida,50tHPGywaRMpHONxL7bkZZ,0.756,0.49,-7.115,0.0297,0.849,0.00146,0.194,0.897,106.18,4.0,134769,0
Julien Clerc,This Melody (Live),0eaWlnrNBi96s1kCmnikta,0.633,0.489,-10.798,0.0336,0.309,0.0,0.948,0.502,112.699,7.0,269267,0
Ellen McIlwaine,Spontanous Combustion,6fvMUUffhEufTUNLc4uUHO,0.5,0.592,-6.146,0.0923,0.0465,0.0,0.182,0.757,133.523,7.0,277840,0
Sonny Simmons,A Distant Voice,6Bt2xLOhOvoYLqj5xRltSs,0.282,0.011,-17.782,0.0447,0.823,0.11,0.0685,0.0791,138.701,0.0,442991,0
Bézu,Le tortillard,5SeLcfEllntpLsQZjE27Je,0.704,0.967,-3.246,0.0438,0.097,0.0,0.314,0.905,126.98,2.0,286427,0
Richard Burton,I See The Boys Of Summer,68iMc2cxaPkVm5oEHHqHqL,0.694,0.0373,-25.234,0.495,0.88,0.0,0.145,0.431,105.197,7.0,173726,0
Howard Armstrong,My Four Reasons,1DbMpBy570dOwInKptdZ9A,0.737,0.417,-12.997,0.19,0.788,5.64e-06,0.362,0.931,126.955,5.0,198933,0
Miguel Gallardo,Eternamente Amame,7Cj3XPczuuW2N0E5IX1HlG,0.63,0.461,-12.377,0.0315,0.661,0.0,0.121,0.348,126.414,0.0,237840,0
Tyrone Davis,Cheatin' In The Next Room,3xwDeFIM42Mj9DeiY9h41q,0.692,0.435,-10.728,0.0374,0.426,0.00104,0.0668,0.713,80.989,10.0,235907,0
Bob Margolin,You Rascal You,3fINJasKEQ7asqNj1aTP2D,0.836,0.346,-11.393,0.0538,0.941,0.000174,0.114,0.964,110.144,4.0,126600,0
James Hunter,Cowboy Ways,5cGyNyFgPSiCwSnBwCMg0r,0.767,0.651,-5.762,0.0271,0.173,0.0,0.165,0.701,114.972,2.0,194653,0
Xmilk,Sense And Trick,4i65xEMU61ejTYFHGg8nQh,0.31,0.944,-4.065,0.103,2.39e-05,0.876,0.104,0.585,141.787,0.0,123733,0
Brazilian Tropical Orchestra,One Less Bell To Answer,770XkoYjIsGQPoy46wX5lk,0.149,0.39,-9.012,0.0289,0.388,0.783,0.177,0.221,77.588,0.0,194080,0
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),5wfsNGEBtkrK0ECZMWIO9a,0.638,0.432,-5.303,0.041,0.0152,0.768,0.121,0.479,79.964,6.0,205333,0
Gil Semedo,Festa,0vDyuMxy7bbw8CCtglhv3v,0.746,0.912,-6.528,0.0424,0.0214,0.000683,0.0784,0.963,113.026,11.0,285373,0
Milan Band,Ciao Milan,2lgbLnDXVI0uhvTRJH3LnC,0.685,0.665,-8.64,0.0362,0.779,1.05e-05,0.0666,0.733,128.495,8.0,151973,0
Sven Tasnadi,2190 Dias Contigo,4A0b9OnIlvbwufYi0JLC1X,0.841,0.335,-11.886,0.0613,0.206,0.891,0.0989,0.354,123.028,8.0,570843,0
Gary Hobbs,The Look Of Love,7GLwOuLncUX8ZtooD85CiA,0.56,0.524,-8.483,0.0664,0.782,0.237,0.0951,0.709,125.217,0.0,289640,0
The Jordanaires,Sweet By And By,4foTQt3U67UovlaRoJSxQr,0.507,0.249,-16.695,0.0434,0.634,0.0,0.0705,0.479,160.202,0.0,176507,0
Kiril Valeri,Bulgarian Dream,4LjoAsbTiZoh2d0HnLAcH5,0.471,0.911,-6.815,0.135,0.0666,0.0187,0.141,0.498,191.947,11.0,306827,0
Word,Amalgama,2XuCfNGCkVzF6JLu8oE68Z,0.699,0.891,-3.573,0.295,0.451,0.0,0.0575,0.736,94.058,9.0,229720,0
Jim Chappell,Still,3dEGVKvsuH4sPDUiKnNICV,0.258,0.107,-18.241,0.0452,0.984,0.851,0.0818,0.0387,75.167,0.0,263933,0
Flávio José,Jogo Limpo,1IgASoJfRdTx2ZSQieTrHo,0.557,0.79,-7.722,0.0472,0.0118,3.21e-06,0.296,0.891,168.443,0.0,252027,0
Pery Ribeiro,Our Love Is Here To Stay,7KM8SDVwFK4f0TrezqlM2t,0.728,0.304,-17.358,0.041,0.905,0.000472,0.337,0.451,133.108,7.0,177586,0
Daniela Dessì,New Age,52UZXFtlEsT7et6eY4WDfu,0.208,0.454,-10.345,0.0347,0.931,0.913,0.0943,0.101,139.823,0.0,333080,0
Soular,Everything Changes,4ionaLwnjFB87LzLQNNM9n,0.549,0.714,-6.807,0.0339,0.001,0.875,0.121,0.224,110.026,6.0,244467,0
Dakis,Perasmena Mesanihta,17RqbYkXUA9KQ3KCBJhVkz,0.582,0.52,-8.194,0.0318,0.351,0.0,0.323,0.536,100.093,0.0,172343,0
Brian Keane,Battle Of The Rosebud / Cries,0AuGM8N8AUGsd8HszDIuja,0.172,0.068,-31.119,0.0439,0.809,0.966,0.15,0.0431,118.218,0.0,130533,0
DJ Dips,Gerra De De,3jop2VXhGmDXq4wmvdAZQX,0.763,0.897,-5.88,0.134,0.19,0.000797,0.106,0.916,129.985,1.0,238347,0
Ana Bekuta,Kako mi je pitas sad,5AIfcDaD8SDDG7KvCA44H8,0.616,0.534,-13.948,0.0441,0.0515,6.41e-06,0.0961,0.916,160.221,0.0,145587,0
Aberdeen,Beyond the Light,0YyjeRGMH3cUVoqHO4rDzC,0.323,0.836,-12.896,0.0454,0.00937,0.453,0.289,0.662,135.684,9.0,266667,0
Jason Miles,Voices On The Corner,1TD3MS40gYhBs9hu0IEgpD,0.85,0.53,-9.676,0.0951,0.00991,0.814,0.129,0.539,101.014,8.0,235760,0
Boogie Pimps,Get Back Down,7AmbrteLRZQNJFaFNTFv7b,0.919,0.469,-7.404,0.162,0.00508,0.729,0.126,0.317,124.994,0.0,415035,0
Gloriana,Pulecenella 'e mò,5PFJsnXMxP7F4MNG6BLLlv,0.56,0.245,-17.118,0.163,0.492,0.0,0.154,0.788,125.086,8.0,180560,0
Agnes,I Need You Now,19yiZacU2GVbGRjnWUht4y,0.587,0.659,-4.179,0.0293,0.0234,1.12e-06,0.161,0.29,123.976,7.0,226187,0
Jazz Gillum,Me And My Buddy,5dNDw6hInplcJ1ovvSLJpD,0.801,0.303,-15.667,0.149,0.729,0.00215,0.318,0.834,101.253,0.0,185574,0
José Augusto,Pecado De Amor,1wYh5Wb4xcDMsRFrq0ijFs,0.404,0.469,-7.907,0.0291,0.316,0.0,0.0671,0.309,97.763,0.0,284707,0
20/20,It Goes On,4dRL0SVN82FEEBJGOx8nXd,0.553,0.598,-13.744,0.0266,0.015,0.0439,0.0729,0.379,101.192,11.0,302400,0
The Irish Tenors,Mountains Of Mourne,7lWzOsw4AZwamFiTvvEqkh,0.55,0.141,-17.57,0.208,0.945,1.64e-06,0.735,0.257,120.689,10.0,101000,0
Prozak,Go To Hell,7CNEw9bGUm3M51eC5HDcca,0.54,0.718,-5.866,0.429,0.0474,0.0,0.177,0.263,177.898,1.0,173320,0
Yvette Horner,La Plus Bath Des Javas,5KnmoQXgXBmeFVOhemyLlJ,0.688,0.493,-5.903,0.103,0.448,0.707,0.0427,0.958,161.673,7.0,147973,0
LORE,Haunting,2K1lozFQXyljyX9BoPx5CT,0.513,0.712,-7.909,0.0561,0.00207,0.00149,0.167,0.378,130.037,0.0,216547,0
Delta 9,Infidel,15VgI1UtxtTDzqebw0JauM,0.479,0.911,-7.766,0.495,0.907,0.877,0.261,0.305,70.699,1.0,96256,0
Lady May,The Boss,5LlgvMflxAxK37mubMTvyy,0.595,0.844,-5.21,0.0785,0.000921,0.0,0.0805,0.342,124.261,1.0,214040,0
The Secret Life of Teenage Girls,Carpe PM,4X0WtthDAQYVHPHwVsW6vd,0.442,0.841,-9.155,0.0591,9.33e-06,0.895,0.278,0.121,88.991,7.0,153200,0
Catherine Howe,Freedom Enough (From Silent Mother Nature),0aEK6oKQDAhRQPzGWUU6cD,0.562,0.689,-11.126,0.0433,0.12,0.0,0.117,0.805,85.758,0.0,187360,0
Igor Stravinsky,The Owl and the Pussy-cat,1dxIRRp541FHa9N4lhCWxm,0.528,0.041,-19.196,0.0367,0.991,3.62e-06,0.0632,0.452,73.116,0.0,153733,0
Michèle Arnaud,Marie D'Aquitaine,3ZTVCLizPp69GOp71l646t,0.291,0.245,-11.625,0.0375,0.805,2.59e-06,0.121,0.304,81.811,0.0,177173,0
JDS,Nine Ways,5nQXXmMNOixmmaatxg65V0,0.725,0.903,-13.748,0.051,0.0554,0.0789,0.0333,0.795,134.007,1.0,465217,0
Angela Dimitriou,Ftei O Erotas,24500UiPx41PFdN5Z31PGu,0.708,0.773,-5.569,0.088,0.473,3.79e-06,0.0983,0.774,120.034,0.0,216347,0
The Black Velvet Band,Dancing To A Standstill,30jQBsAZrTjdAdnPNbETm9,0.576,0.761,-8.712,0.0345,0.0487,0.00019,0.244,0.699,122.21,2.0,256400,0
John Davis,Knocked Out Of The Park,49c5ZyHWQcv9WBncskBqmD,0.426,0.015,-21.574,0.126,0.289,0.000498,0.103,0.183,166.419,5.0,183160,0
Casual,OAKtown,6bl7zfIAjDXS8CgCi3W0O1,0.854,0.528,-7.64,0.345,0.00427,0.0,0.163,0.651,160.017,0.0,317733,0
David Martin,It Wont Be Christmas,2IMJIDzbp8zsmHLXYErOtN,0.652,0.426,-14.2,0.0247,0.0305,0.0,0.0512,0.561,98.793,0.0,237732,0
Trafik,Salt In NYC,1xo1ptrU8ee8g8RzYpwxB5,0.693,0.641,-8.34,0.0443,0.00329,0.102,0.095,0.611,126.985,0.0,402827,0
Pucho & His Latin Soul Brothers,Got My Mojo Workin,2fMD2jfV3xsdtRmFlhKZWJ,0.687,0.485,-16.313,0.0397,0.286,0.0587,0.202,0.85,115.434,1.0,338240,0
Los Manolos,Rumba De Barcelona,56hj9AHSYQNWdIF5RHcB2D,0.724,0.975,-4.141,0.114,0.433,8.14e-05,0.531,0.843,118.562,0.0,217160,0
Steel Rain,Loaded Like A Gun,5ymHhYazOiVbcYDYYtg379,0.308,0.732,-8.06,0.0329,0.000742,0.0141,0.0693,0.494,98.95,6.0,173187,0
Blingtones,Sonnerie lalaleulé hi houuu,1HHdxK54acug9oEO4KtOaw,0.473,0.364,-8.039,0.0552,0.995,0.0,0.243,0.866,142.644,5.0,30171,0
Gloriana,Clementina Santafè,50FJqpowrgnutq5FTcO3E7,0.651,0.493,-14.127,0.12,0.824,0.00153,0.0669,0.92,143.527,2.0,153600,0
Bombay Rockers,Wild Rose (Back 2 Basics Mix),2tC8h6mkTaBlN0jBfEdqSl,0.825,0.804,-6.492,0.0448,0.0563,0.00656,0.0687,0.963,121.994,0.0,230667,0
Line Renaud,Der Kleine Dompfaff,4yRAB15Fp9CQVgomrLuGLu,0.275,0.331,-6.81,0.0313,0.856,1.44e-06,0.111,0.321,175.799,1.0,154107,0
Luna Orbit Project,Midnight Star,4PyCkWXbW2kEUGRxok4Ph3,0.591,0.855,-8.589,0.0416,3.34e-05,0.256,0.206,0.679,140.025,0.0,419400,0
Bitter End,Living Hell,2VWiab7zgvnsJqjoMTJBNy,0.25,0.866,-13.771,0.0521,3.47e-05,0.034,0.137,0.353,168.776,1.0,282560,0
Maurice Larcange,Un Peu D'Amour Et D'Amitié,3L1kglo4kLUWDfjHv5mfJ4,0.481,0.553,-5.627,0.0349,0.375,0.15,0.301,0.576,137.332,1.0,210495,0
Jauida,I don't Want to Be Alone Tonight,2TifOU81YYcsVMoo09LHrw,0.464,0.531,-6.733,0.0283,0.26,1.29e-06,0.171,0.311,201.995,7.0,270081,0
Oasis,Morning Glory,5AMgAzHqrO8cUGoYGr1CHb,0.333,0.976,-3.997,0.0886,0.0528,2.38e-05,0.494,0.0849,136.968,0.0,304279,0
The Stolen Minks,I Hate You,2fa3DKWlxMINFOHM7gItKU,0.214,0.89,-2.052,0.0449,0.232,0.976,0.486,0.679,122.81,2.0,56427,0
Jay Tee & Baby Bash,All Over Me,2IlEotpi9hzjK4liBOCXVs,0.788,0.722,-5.695,0.203,0.151,0.0,0.283,0.717,99.031,8.0,203693,0
Brian Dullaghan,And I Love You So,11T0n1Qx46W3pifwpxt8JZ,0.476,0.163,-14.073,0.0276,0.871,7.08e-06,0.103,0.145,99.452,10.0,214507,0
State of Chaos,CHAOS INTRO,597bUTdyKiIL0of9QaG1z0,0.318,0.399,-18.226,0.0763,0.548,0.0999,0.269,0.274,98.591,0.0,176840,0
Extasick,Misanthrope,6KHooKDLY7gKJY9goCoFXa,0.37,0.915,-10.069,0.126,0.0172,0.845,0.301,0.154,182.988,7.0,134027,0
SNOWPATROL,We Wish You A Merry Christmas,2s447Z0bkzaZnDxrfNNmfV,0.581,0.952,-9.16,0.0303,0.00135,0.886,0.0842,0.466,143.987,1.0,233363,0
Leonard Kwan,Hawaiian Chimes,1bDQY7asH4uLK5XeKQs1GE,0.591,0.31,-15.65,0.0513,0.84,0.931,0.144,0.551,108.998,5.0,170307,0
True Believers,Turn Around,67YqrtZtWos8JuD8ntgY4k,0.573,0.932,-3.217,0.327,0.357,0.0,0.0399,0.33,191.961,6.0,159076,0
Zuzu Bollin,Why don't you eat where you slept last night ?,2WdjmV6o9JeFqQIKQvF2ej,0.606,0.393,-16.296,0.0506,0.736,0.69,0.0823,0.832,131.863,10.0,174133,0
Beatnuts,Monster For Music,205W1ZqNchOXrCjO7jbQhc,0.756,0.723,-10.178,0.216,0.356,0.0,0.201,0.907,87.391,6.0,169093,0
Terry Snyder,Deep Night/Softly As In A Morning Sunrise (Medley),1vazfHobo3MVJPUD9eFSs5,0.49,0.433,-13.095,0.0392,0.478,0.24,0.149,0.644,113.016,6.0,341760,0
Pursuit Of Happiness,Forbidden Fruit,1xhDRPwS0L3oekR4GQuVAC,0.541,0.897,-10.507,0.0401,0.119,8.06e-06,0.0608,0.508,127.536,0.0,196760,0
Mons Leidvin Takle,Dansende Foran Speilet,1CYbkk5yEXPSfzbjmCutWe,0.457,0.102,-19.435,0.0458,0.992,0.954,0.129,0.491,141.597,7.0,121120,0
Bobby Hutcherson,Recorda-Me,3iW75emhSIqMCISaJq1sde,0.53,0.471,-12.911,0.0356,0.727,0.438,0.305,0.55,143.161,0.0,353373,0
The Cosmosamatics,Serene,5i7xZ4UpKr8S5U5AQ0g7yq,0.259,0.408,-14.158,0.0427,0.571,0.000687,0.647,0.414,77.179,3.0,338360,0
Richard Galliano,Chorinho Pra Ele (Live),6T72O89PZh2JcDWor8umhE,0.67,0.646,-10.388,0.23,0.902,0.881,0.703,0.827,119.54,0.0,197293,0
Gregory Isaacs,Lady Of Your Calibre,226oSYlo4LKIIlTYQQTVrn,0.829,0.252,-12.073,0.0607,0.0522,0.00301,0.104,0.916,80.004,3.0,221827,0
Rising Lion,Letting You Back In,0k95HBPzetzQ8LjjR2vaAq,0.579,0.682,-8.667,0.198,0.0836,0.000145,0.0977,0.874,175.861,7.0,281507,0
Creedence Clearwater Revived,Have You Ever Seen The Rain,4tv7pOFSWAcxsSy1pUteU9,0.574,0.649,-9.595,0.0307,0.206,6.06e-05,0.0863,0.696,121.079,0.0,255600,0
B.A.D.,Interlude,2Y12YezX8nkoYgBEmakOnB,0.732,0.934,-4.818,0.133,0.285,0.000109,0.623,0.748,95.509,0.0,102333,0
The Cosmosamatics,12 Seasons of Love,0rwSxa5CyzKQU5TzTTdB9e,0.418,0.271,-12.94,0.059,0.689,0.0168,0.914,0.293,94.552,8.0,515973,0
Circular,Mother,2QcgSxSdGmiCk4G7FOC5N9,0.244,0.163,-30.394,0.0642,0.836,0.856,0.189,0.0674,139.554,1.0,60093,0
Tha Chamba,Korrupted - Remix,2KwPQa4kIh4zJivbCnKYCY,0.692,0.54,-6.261,0.0646,0.434,0.0134,0.233,0.526,86.116,0.0,281731,0
Kinky,My Bonnie Lies Over the Ocean,6JiwOvXCxms8dENHSTnbTQ,0.604,0.972,-4.249,0.0418,0.0568,0.724,0.538,0.503,145.002,7.0,101733,0
Los Originales De San Juan,Librado Maldonado,2nu5imEZVk352OG8maRU3p,0.484,0.627,-7.049,0.144,0.202,0.0,0.292,0.868,177.422,5.0,263573,0
Selena,Ven Conmigo/Perdoname (Live),6Yz9yZNqvKDmf5EGzM3yr6,0.385,0.68,-11.351,0.0648,0.141,3.42e-05,0.71,0.674,101.019,0.0,394013,0
Barbarito Diez,Flores Negras,70SdkB4zFgGm2318CdYgx8,0.59,0.321,-8.064,0.0349,0.801,1.55e-05,0.183,0.702,129.359,0.0,183647,0
Emilio,Mira Nina,2CqTaHTYkUErIQWnRtsyjU,0.6,0.498,-13.982,0.047,0.0911,0.0,0.0867,0.965,205.152,10.0,165973,0
Jane Winther,The Lords Prayer,6AxU0tQbKRmjsopvpHfoRw,0.328,0.0121,-16.241,0.0428,0.95,1.19e-06,0.0975,0.0596,78.933,8.0,145693,0
Blind Blake,Blake's Worried Blues,2MpsRzW6v3cyKvsqSMyqc3,0.666,0.178,-18.12,0.0622,0.835,0.00233,0.106,0.651,86.717,0.0,186800,0
Antonis Remos,To Agalma,5s8PGfSXfmDeAzRcwnonCf,0.556,0.547,-10.016,0.035,0.377,0.0,0.816,0.425,117.594,0.0,140653,0
Gaetano Donizetti,Donizetti: Roberto Devereux: L'ore trascorrono...,5I8hqjKcHfdCuuViKXxT51,0.177,0.144,-21.07,0.037,0.97,0.255,0.105,0.207,88.189,4.0,206680,0
Rummage,Megatrend,681E5rxhEIJD6TAeEs5kmJ,0.394,0.762,-5.724,0.288,0.000662,0.0338,0.166,0.751,187.72,1.0,178133,0
David Hudson,Arrival,6Ccn0uyx31P2eiqtjrKbWN,0.441,0.304,-11.706,0.0529,0.909,0.947,0.139,0.149,86.811,0.0,320907,0
Maysa,This Time I'll Be Sweeter,5gIlqAd0FDvU7Vu1Q3uEdO,0.375,0.292,-7.338,0.0289,0.845,0.0,0.163,0.0986,132.29,11.0,230307,0
Justin,Erica,52eRIP6RTkEqKQppTmilIN,0.82,0.481,-9.008,0.063,0.516,0.0,0.0996,0.624,92.022,9.0,239026,0
David Summers,Las Murallas De Jericó,0e99xOHqtnXJ8BaQiOY7f0,0.541,0.447,-9.767,0.0262,0.121,0.00462,0.0702,0.315,132.839,0.0,321333,0
Adr Lavey,In The Name of the Father,1yVOaxUKcMPo00AP2jhuN1,0.863,0.792,-6.142,0.255,0.0043,0.0,0.337,0.544,95.959,1.0,197107,0
Bill Boyd's Cowboy Ramblers,I Can't Tame Wild Women,6plQ2iKpap0i3LnRCAFeYR,0.833,0.339,-11.6,0.0517,0.972,0.00687,0.326,0.9,99.163,9.0,160453,0
Vickie Winans,Little Timmy,3XlURVlMhr9ULBTl4eLxjx,0.701,0.233,-19.459,0.9,0.663,0.0,0.085,0.457,118.733,0.0,359160,0
Little Freddie King,Bus Station Blues (Live),4TEoDnVmnfJX8sVlafv3NH,0.468,0.418,-12.004,0.0273,0.513,0.136,0.696,0.506,98.019,9.0,443693,0
John Brown,Party In The Burbs,1ZDluJmxOWj2nsnuGNEx5P,0.659,0.949,-3.492,0.175,0.36,0.0,0.633,0.705,95.113,0.0,151469,0
Vickie Winans,Great Is Thy Faithfulness,1lGJB8Aa4CRO19gbIwjhJa,0.194,0.263,-15.144,0.0389,0.554,0.0,0.392,0.134,82.942,8.0,477053,0
Andy Russell,I Love You And You Love Me,7zhc5lOCjJfsokN9uOSqFS,0.318,0.641,-5.678,0.043,0.877,0.139,0.173,0.456,109.12,0.0,156947,0
Asleep At The Wheel,Big Balls And Cow Town,5fnCIXdQqjFUznKrPhUeyz,0.661,0.613,-10.016,0.0454,0.171,9.16e-05,0.981,0.857,126.297,0.0,249382,0
1. Futurologischer Congress,La Excursion,36vE9rAkGY1W7zLPtIPZCj,0.391,0.487,-11.152,0.0448,0.483,0.0145,0.134,0.473,80.223,0.0,107453,0
Chaotica,Lobotomy,3M2wnHPA0BZlCPUhgMIhjR,0.581,0.967,-7.433,0.0504,4.92e-05,0.514,0.137,0.658,135.019,0.0,243200,0
Sunnyland Slim,I Got To Quit My Baby,3TtUYhs6Xuq2DvjqLktl6w,0.55,0.434,-11.442,0.0478,0.282,0.059,0.259,0.862,149.788,2.0,149013,0
SKOLD vs. KMFDM,Alkohol,5cLTc0BN87jepPzsAkm3W6,0.631,0.812,-6.235,0.0527,0.00241,0.0385,0.629,0.523,127.033,10.0,328240,0
Ayo,I Love You,0c3LWAENXy2lyutNmOY3Il,0.815,0.294,-16.841,0.047,0.0335,3.01e-06,0.0902,0.841,127.993,8.0,231425,0
Melt Banana,Talk Like POP,7dOif5d6lOa870K6YQIYbB,0.619,0.831,-3.808,0.58,0.253,0.956,0.148,0.528,91.917,10.0,51627,0
De La Ghetto,Es dificil,2yIt5SGOZCHE2PuzcXfOof,0.668,0.731,-5.942,0.11,0.0225,0.000497,0.184,0.406,193.986,0.0,280680,0
Two Man Advantage,The Sweep,0ovbTOAL5XSjsUVPr5dT5W,0.388,0.979,-6.051,0.228,0.00968,2.56e-05,0.337,0.494,106.237,0.0,50840,0
The Red Telephone,Have You Seen Her,1mIdNYieMiL1OdKHG1zjYa,0.32,0.707,-6.617,0.0323,0.152,0.0192,0.111,0.167,115.869,2.0,273493,0
M.I.K.E.,Fuego Caliente,1q07DHIZIiXkzc8abtn6El,0.589,0.892,-9.056,0.0636,2.12e-05,0.902,0.0264,0.29,139.997,0.0,515560,0
Bill Douglas,Karuna,4KhrNZiDpo2t3uugifbRzU,0.477,0.0635,-18.981,0.0519,0.995,0.927,0.0912,0.193,68.637,0.0,193920,0
DJ Slugo,Whip It,2WJVxvnaCimskZJy1Gf3Bg,0.761,0.933,-10.14,0.0945,9.38e-05,0.923,0.0883,0.198,150.018,1.0,199200,0
Joi,The Blessing,33qbGrW9pO6RHY7YHs4diJ,0.587,0.906,-8.259,0.0491,0.0642,0.869,0.0861,0.313,96.033,7.0,335347,0
S. Solis y Orquesta,La Vida En Rosa,2FNbelwEkg8ZNXZtfqtpAS,0.24,0.219,-11.066,0.0389,0.737,0.00352,0.0926,0.13,88.118,0.0,182200,0
Dee Clark,Little Bitty Pretty One,2WBpLP0MnaVPViIzBJUj2Z,0.5,0.631,-12.306,0.25,0.81,0.0022,0.0971,0.67,93.222,0.0,128400,0
Commissioned,You Can Always Come Home,3VvTLNlNSWXLcI8JQUTGmE,0.691,0.635,-9.013,0.0682,0.0718,9.96e-05,0.16,0.557,157.871,8.0,343667,0
Rickie Lee Jones,Skeletons (Live Acoustic Version),0IEjWfiKSvaEiMgWlAw5wE,0.447,0.026,-22.085,0.0429,0.93,6.25e-06,0.733,0.337,81.718,7.0,221133,0
