Artist,Track,SpotifyID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Key_mode_Ratio,duration_ms,billboard_hit
Nightwish,The Poet And The Pendulum,2EwXVpxaxhLHcc94cwX6Lh,0.385,0.723,-6.205,0.0402,0.00935,0.0244,0.11,0.191,145.038,0.0,834691,0
Steinski,Silent Partner (Peace Out),1dJ6gh2YvdmadjmlRqbw5L,0.658,0.425,-17.873,0.299,0.671,5.9e-06,0.387,0.445,102.499,0.0,52427,0
Shinehead,Olivia,3mBtSSfIq0vGWH0IIXDSK0,0.744,0.375,-10.518,0.0654,0.0216,3.15e-06,0.0647,0.587,83.49,1.0,239427,0
Tony Joe White,Menutha,0epqSDWtndHaoHTZeSHCcM,0.58,0.588,-9.635,0.0274,0.252,0.605,0.157,0.664,134.548,2.0,252067,0
Klaus Badelt,Time Travel,15xM8lACDFEaAzOyFaxFAj,0.158,0.148,-17.967,0.0368,0.709,0.853,0.152,0.0363,77.353,2.0,275427,0
Terror Squad / Remy / Prospect / Armageddon,Hum Drum,5oJqQHFJAAEablVfOM7nk6,0.675,0.827,-5.154,0.305,0.102,0.0,0.172,0.429,88.912,1.0,251920,0
Darden Smith,Perfect Moment,4rSamLckgIWdIFvagFphYo,0.643,0.348,-12.417,0.0283,0.752,0.0099,0.112,0.597,82.501,6.0,268947,0
Los Indios Tabajaras,Sueño Salvaje,1IhGvpKD29Y1xKsbodfrsg,0.56,0.148,-17.362,0.0366,0.973,0.772,0.086,0.302,61.65,11.0,171280,0
Dusminguet,Disco Jonki,5wMRc0NR4LFgZvQmMO5flm,0.616,0.837,-7.849,0.0464,0.0308,0.0,0.281,0.934,152.151,0.0,168640,0
Walter Ego,Purple Pygmies,640qq2vE5mFC6VkIQ0uVQ1,0.602,0.712,-11.089,0.0448,0.0527,0.87,0.409,0.33,93.095,0.0,535507,0
Anthony Blea Y Su Charanga,Tumba Randy,2E3X25aohl11SCzlONyOVC,0.572,0.857,-5.194,0.0423,0.255,0.321,0.0369,0.764,100.003,0.0,459280,0
Audio Adrenaline,My God  (Audio Adrenaline Album Version),3JrySChMaA8mRGU9ZzdtRz,0.636,0.721,-7.61,0.235,0.231,1.37e-05,0.701,0.422,99.648,0.0,219067,0
Francis Dunnery,The Possibilities of Loving You,6XetEf5eIV3fJJvYcooAd5,0.303,0.761,-7.144,0.102,0.0138,0.0955,0.0884,0.224,101.216,9.0,219093,0
Obie Bermudez,Antes (Salsa Version),6GkaozS29D52jUTkjIY85i,0.504,0.853,-4.175,0.0378,0.461,0.0,0.197,0.869,90.004,8.0,271507,0
